NODES,PRIM,UNION-FIND,DFS,BFS
10,0.000023375,0.000010875,0.00001145,0.00001515
20,0.000053225,0.00001995,0.0000226,0.000033
40,0.000093,0.000037675,0.000051125,0.000081325
80,0.000211975,0.000078325,0.000164225,0.000277225
100,0.000226025,0.00015645,0.00017665,0.000294925
200,0.000466775,0.000194025,0.000630625,0.0011942
400,0.000992,0.000422975,0.0023082,0.004282225
800,0.002300525,0.00086635,0.011891925,0.0181848
1000,0.0030764,0.001125775,0.01982645,0.03247695
2000,0.00670545,0.002074075,0.052665425,0.083336375
4000,0.01194905,0.003970475,0.1938935,0.31814675
8000,0.02442785,0.01146325,0.79335575,1.2944925
10000,0.030872525,0.01125185,1.2583425,1.999255
20000,0.05856495,0.02223025,5.1706575,8.31385
40000,0.144688,0.05340185,21.1708,33.7453
80000,0.29828475,0.09366775,94.729725,147.061
100000,0.319416,0.11880275,168.4145,253.8655
