GRAPHS,NODES,PRIM,KRUSKAL.UNION,KRUSKAL.DFS,KRUSKAL:BFS
1, 2, 3, 4,10,0.000022125,0.0000289,0.00001145,0.00001515
5, 6, 7, 8,20,0.000044625,0.00005365,0.0000226,0.000033
9, 10, 11, 12,40,0.0000968,0.000128325,0.000051125,0.000081325
13, 14, 15, 16,80,0.000241,0.000324325,0.000164225,0.000277225
17, 18, 19, 20,100,0.00028485,0.000334775,0.00017665,0.000294925
21, 22, 23, 24,200,0.000741775,0.001026025,0.000630625,0.0011942
25, 26, 27, 28,400,0.001263175,0.00200145,0.0023082,0.004282225
29, 30, 31, 32,800,0.00323665,0.00448715,0.011891925,0.0181848
33, 34, 35, 36,1000,0.004628875,0.00711725,0.01982645,0.03247695
37, 38, 39, 40,2000,0.005689825,0.010132575,0.052665425,0.083336375
41, 42, 43, 44,4000,0.0109902,0.01985935,0.1938935,0.31814675
45, 46, 47, 48,8000,0.022663825,0.04347925,0.79335575,1.2944925
49, 50, 51, 52,10000,0.0287917,0.05514405,1.2583425,1.999255
53, 54, 55, 56,20000,0.058707075,0.1241515,5.1706575,8.31385
57, 58, 59, 60,40000,0.122796,0.27106725,21.1708,33.7453
61, 62, 63, 64,80000,0.2623645,0.59407775,94.729725,147.061
65, 66, 67, 68,100000,0.3398265,0.78429975,168.4145,253.8655
