GRAPH,PRIM,KRUSKAL.UNION,KRUSKAL.DFS,KRUSKAL.BFS,MST.WEIGHT
1,0.0000223,0.0000252,0.0000118,0.0000138,29316
2,0.0000219,0.0000242,0.0000109,0.0000151,2126
3,0.0000244,0.0000264,0.0000117,0.0000163,-44765
4,0.0000199,0.0000398,0.0000114,0.0000154,20360
5,0.0000454,0.0000509,0.000021,0.0000296,-32021
6,0.0000428,0.0000538,0.0000224,0.0000336,18596
7,0.0000467,0.0000559,0.0000256,0.000037,-42560
8,0.0000436,0.000054,0.0000214,0.0000318,-37205
9,0.0000898,0.0001214,0.0000474,0.000068,-122078
10,0.0000896,0.0001185,0.0000465,0.0000927,-37021
11,0.0000861,0.000116,0.0000458,0.0000747,-79570
12,0.0001217,0.0001574,0.0000648,0.0000899,-79741
13,0.0002631,0.0003387,0.0001981,0.0003148,-139926
14,0.0002957,0.0003759,0.0001952,0.0003228,-211345
15,0.0002213,0.000322,0.0001168,0.0001899,-110571
16,0.0001839,0.0002607,0.0001468,0.0002814,-233320
17,0.0002809,0.0003619,0.0001776,0.0003533,-141960
18,0.0002472,0.0003346,0.0001815,0.000301,-271743
19,0.0003126,0.0003215,0.0001931,0.0002477,-288906
20,0.0002987,0.0003211,0.0001544,0.0002777,-232178
21,0.000874,0.0009747,0.000534,0.0009846,-510185
22,0.0008898,0.0013634,0.0008088,0.0014474,-515136
23,0.000635,0.0009264,0.0005399,0.0010597,-444357
24,0.0005683,0.0008396,0.0006398,0.0012851,-393278
25,0.0015488,0.002236,0.0029238,0.005317,-1122919
26,0.0010366,0.001786,0.0017791,0.0032735,-788168
27,0.0014152,0.0022047,0.0021077,0.0047676,-895704
28,0.0010521,0.0017791,0.0024222,0.0037708,-733645
29,0.0027576,0.0040166,0.0109435,0.0158155,-1541291
30,0.0024597,0.0042523,0.0092917,0.014762,-1578294
31,0.004772,0.0050212,0.0114346,0.018431,-1675534
32,0.0029573,0.0046585,0.0158979,0.0237307,-1652119
33,0.0039937,0.0060461,0.0167154,0.0269884,-2091110
34,0.0068903,0.0093624,0.0196102,0.0359752,-1934208
35,0.0043936,0.0068385,0.0257943,0.0321756,-2229428
36,0.0032379,0.006222,0.0171859,0.0347686,-2359192
37,0.006971,0.0118937,0.0676218,0.0908091,-4811598
38,0.0052637,0.0096671,0.0500617,0.0815537,-4739387
39,0.005229,0.0093522,0.0469542,0.0825529,-4717250
40,0.0052956,0.0096173,0.046024,0.0784298,-4537267
41,0.0120093,0.021044,0.213293,0.341418,-8722212
42,0.0109606,0.0199926,0.190029,0.313774,-9314968
43,0.0105224,0.0190362,0.177921,0.29646,-9845767
44,0.0104685,0.0193646,0.194331,0.320935,-8681447
45,0.0224681,0.0436783,0.796194,1.27697,-17844628
46,0.0217485,0.0416504,0.791508,1.23286,-18800966
47,0.0243928,0.045482,0.770846,1.34956,-18741474
48,0.0220459,0.0431063,0.814875,1.31858,-18190442
49,0.0287203,0.0543871,1.23424,2.03893,-22086729
50,0.0309194,0.0581762,1.30569,2.04835,-22338561
51,0.028021,0.0538767,1.2361,1.91129,-22581384
52,0.0275061,0.0541362,1.25734,1.99845,-22606313
53,0.0586548,0.121006,5.20261,8.6395,-45978687
54,0.0594331,0.127092,5.21449,8.25827,-45195405
55,0.0586596,0.123621,5.11684,8.22975,-47854708
56,0.0580808,0.124887,5.14869,8.12788,-46420311
57,0.12261,0.272339,21.1197,33.6028,-92003321
58,0.122679,0.26778,21.387,34.1273,-94397064
59,0.12302,0.269926,20.867,33.7653,-88783643
60,0.122875,0.274224,21.3095,33.4858,-93017025
61,0.26057,0.585217,95.386,149.296,-186834082
62,0.261448,0.603911,95.3925,147.101,-185997521
63,0.260784,0.599035,95.9979,149.658,-182065015
64,0.266656,0.588148,92.1425,142.189,-180803872
65,0.341934,0.79977,165.365,255.608,-230698391
66,0.338952,0.772628,172.812,253.56,-230168572
67,0.337417,0.778169,169.326,253.897,-231393935
68,0.341003,0.786632,166.155,252.397,-231011693
