"","WEIGHT"
"1",29316
"2",2126
"3",-44765
"4",20360
"5",-32021
"6",18596
"7",-42560
"8",-37205
"9",-122078
"10",-37021
"11",-79570
"12",-79741
"13",-139926
"14",-211345
"15",-110571
"16",-233320
"17",-141960
"18",-271743
"19",-288906
"20",-232178
"21",-510185
"22",-515136
"23",-444357
"24",-393278
"25",-1122919
"26",-788168
"27",-895704
"28",-733645
"29",-1541291
"30",-1578294
"31",-1675534
"32",-1652119
"33",-2091110
"34",-1934208
"35",-2229428
"36",-2359192
"37",-4811598
"38",-4739387
"39",-4717250
"40",-4537267
"41",-8722212
"42",-9314968
"43",-9845767
"44",-8681447
"45",-17844628
"46",-18800966
"47",-18741474
"48",-18190442
"49",-22086729
"50",-22338561
"51",-22581384
"52",-22606313
"53",-45978687
"54",-45195405
"55",-47854708
"56",-46420311
"57",-92003321
"58",-94397064
"59",-88783643
"60",-93017025
"61",-186834082
"62",-185997521
"63",-182065015
"64",-180803872
"65",-230698391
"66",-230168572
"67",-231393935
"68",-231011693
